🟢🔺,Woflow,pe42ESFEYwDdB9Pwe,https://app.hubspot.com/contacts/19497222/record/2-31980195/17168485258
🟢🔺,Intercom 1,JTgS6JMLYWmwCYDrb,https://app.hubspot.com/contacts/19497222/record/2-31980195/17182149529
🟢🔺,Digitális Szuverenitás Központ,teb4hSGQsfNHk7xL2,https://app.hubspot.com/contacts/19497222/record/2-31980195/17182149674
🟢🔺,Groupon 2,M8aknsR3gTBGczq4A,https://app.hubspot.com/contacts/19497222/record/2-31980195/17177753125
🟢🔺,Xepelin,PpY4PNAcEQdEr4GDR,https://app.hubspot.com/contacts/19497222/record/2-31980195/17177753177
🟢🔺,GigRadar,cbQjZn4hDHMnYPhGL,https://app.hubspot.com/contacts/19497222/record/2-31980195/17178148373
🟢,Crunchbase,EGb5W7HwfeQdgpgi7,https://app.hubspot.com/contacts/19497222/record/2-31980195/17182151703
,Kamala.global,6xHZAGfjacS6O4vlI,https://app.hubspot.com/contacts/19497222/record/2-31980195/18829603465
🟢🔺,Celestica,nTTJitoDugLjMHvrS,https://app.hubspot.com/contacts/19497222/record/2-31980195/18831709486
🟢🔺,Point72,GtE4KyETF2Db7Rh8R,https://app.hubspot.com/contacts/19497222/record/2-31980195/18832251789
🟢🔺,Patrick Truong (handover),TphJ55khghHY5NVSS,https://app.hubspot.com/contacts/19497222/record/2-31980195/17170706947
🔴,P&G,fYn5IE8hgqrOZ5SO5,https://app.hubspot.com/contacts/19497222/record/2-31980195/18835315569
🟢🔺,RBI,SIXqP9rIm5xYp05o1,https://app.hubspot.com/contacts/19497222/record/2-31980195/19184200095
🟢🔺,Athena,Y9WXc8R6xgZYny4Z8,https://app.hubspot.com/contacts/19497222/record/2-31980195/19210664623
🟢🔺,HP,SSNTjWYwUeGhGVbcf,https://app.hubspot.com/contacts/19497222/record/2-31980195/20152255332
🟢,Brightwheel,8hskOXzaFsfmuP6m0,https://app.hubspot.com/contacts/19497222/record/2-31980195/20988387936
🟢🔺,Audi,xJrBwnh3fzgeycvo0,https://app.hubspot.com/contacts/19497222/record/2-31980195/23247496046
🟢🔺,PharmaLex,rU9eA2hJUnH0Qsucl,https://app.hubspot.com/contacts/19497222/record/2-31980195/23280850997
🟢🔺,ShopVision,EFsMc0yaVzTRTBbhm,https://app.hubspot.com/contacts/19497222/record/2-31980195/23628366650
🔵,Mandaleadgen,xrOAzLwaW2kFaj41C,https://app.hubspot.com/contacts/19497222/record/2-31980195/23930578253
🔵,Destin.co.uk,IpwlgXhfcgvZ6o0eT,https://app.hubspot.com/contacts/19497222/record/2-31980195/24559632493
🟢🔺,Service Now,9uOtnavrHqu6yzzzI,https://app.hubspot.com/contacts/19497222/record/2-31980195/25150287219
🟢,Buggys,LwWkCrfReBj2Z05hd,https://app.hubspot.com/contacts/19497222/record/2-31980195/25653502281
🔵,CIN7,BytxOgeV74t5D39Tp,https://app.hubspot.com/contacts/19497222/record/2-31980195/25693685507
🟢,Oliver,rgv89KgwJg1IlfmTX,https://app.hubspot.com/contacts/19497222/record/2-31980195/25884996652
🟢🔺 🔺,Iconic Hearts,sJxiFHxrRl2EDajZq,https://app.hubspot.com/contacts/19497222/record/2-31980195/26113603918
🟢,B2B Tech,izWctUPFeAcHCLhD3,https://app.hubspot.com/contacts/19497222/record/2-31980195/26158437265
🔵,Yash Gangar,bwaTNoc0cbbxNHE6k,https://app.hubspot.com/contacts/19497222/record/2-31980195/26992013906
🟢,Sefbot.cz,KpYoK324AFCtHW1aS,https://app.hubspot.com/contacts/19497222/record/2-31980195/27065481312
,Beluga Health,cypozZNwuSxKHu697,https://app.hubspot.com/contacts/19497222/record/2-31980195/27138592909
🔵,GTM6,PgjGPOkRXl9cJMqHt,https://app.hubspot.com/contacts/19497222/record/2-31980195/27290067974
